data,ano,mes,media_temp,rad,vento,max_temp,min_temp,soma_carga,Agua_Grande,Aldeia_Campista,Alvorada,Areia_Branca,Ari_Franco,Baependi,Barra,Boca_do_Mato,Botafogo,Bras_de_Pina,Brisamar,Cachambi,Cachamorra,Camara,Camerino,Campo_Marte,Carmari,Cascadura,Caxias,Centenario,Coelho_da_Rocha,Colegio,Comendador_Soares,Copacabana,Cosmos,Curicica,Democraticos,Eldorado,Esperanca,Fontinele,Fundao,Gardenia,Governador,Guadalupe,Guanabara,Humaita,Influencia,Inmetro,Itaguai,Itapeba,Jaboatao,Jardim_Botanico,Leblon,Leme,Leopoldo,Mackenzie,Marapicu,Mato_Alto,Maturaca,Mena_Barreto,Meriti,Nova_Iguacu,Paciencia,Padre_Miguel,Pavuna,Pedro_Ernesto,Piedade,Porta_Dagua,Posto_Seis,Queimados,Ramos,Recreio,Retiro,Rio_Comprido,Rosali,Samaritano,Santa_Cecilia,Santa_Clara,Santa_Luzia,Santissimo,Santo_Antonio,Sao_Conrado,Sao_Joao,Sapucaia,Sarapui,Saudade,Seropedica,Taquara,Terra_Nova,Tres_Rios,Triagem,Trovao,Turiacu,Uruguai,Vigario,Vigario_Geral,Vila_Valqueire,Vilar_dos_Teles,Volta_Redonda,Washington_Luis,Zona_Industrial
2015-01,2015,1,29.00,1058.74,1.60,39.40,20.80,3077644.85,29486.00,39283.16,51325.36,55003.98,50223.49,48516.00,44691.21,35764.00,33635.07,34153.97,9470.87,49910.54,45695.76,64079.76,40855.32,40185.92,28916.17,61017.05,49430.24,22882.56,39890.00,36896.84,40167.85,30890.00,31701.84,61994.96,30072.67,5516.30,59056.46,20721.00,12913.15,4000,29393.24,43151.15,34763.24,20912.21,3520.87,12300.81,19208.00,35388.69,51415.76,38107.20,34603.62,17889.15,26635.08,19778.20,21013.49,22903.47,32048.08,59545.95,37376.26,61224.43,29949.00,43469.05,35991.57,36716.00,35931.10,75573.50,40958.92,32043.20,30613.17,34560.48,21651.00,45640.57,49152.84,20373.81,18089.00,27714.40,25390.59,34501.52,50710.31,28195.44,26470.00,3083.39,39858.61,7016.82,27055.95,51195.00,31415.00,35336.58,33743.70,30070.98,32292.00,25027.43,4936.07,33484.69,30155.00,22830.09,32974.05,37950.56,11876.64
2015-02,2015,2,27.55,867.63,1.45,38.20,20.40,2544870.26,23426.00,29221.25,45314.85,43888.05,40366.30,41732.00,45870.39,28961.00,30236.22,27630.56,7765.00,41256.45,37717.89,53558.90,32887.00,32876.27,23878.85,50028.74,39909.99,18042.24,32931.00,30707.85,33885.06,24819.01,25028.99,49337.44,22453.99,4816.97,51249.84,17348.00,10968.92,4979.12,24532.12,35726.94,29514.06,16077.02,2938.00,10787.52,16135.00,29046.23,42785.39,32931.73,27241.44,14521.89,21592.69,16897.85,16728.21,20884.86,24337.24,47596.23,29295.74,46785.08,24595.37,34436.12,29825.37,30765.02,28602.27,60114.98,33462.84,29090.50,27516.39,27660.51,18107.00,37500.07,39360.22,15835.55,14701.75,23171.25,21383.26,26936.81,42856.61,23550.83,20476.40,2563.61,33245.23,6140.68,22514.48,40609.00,25387.28,31317.14,29775.43,25323.20,26133.00,22584.27,4112.37,28688.50,26190.00,20055.04,26749.05,31146.04,10092.62
2015-03,2015,3,26.11,665.04,0.88,36.20,18.80,2657071.26,24346.00,31668.34,46666.65,46073.41,42581.15,41273.33,41641.47,28762.00,31204.80,29071.75,8041.70,43820.78,38955.63,54576.00,35281.17,36474.48,25055.40,51805.72,42643.13,19293.66,33858.00,30983.49,34179.42,24670.00,27529.18,49849.07,23612.72,4922.27,52945.00,19019.00,11510.85,8046.00,25240.71,36960.29,29522.54,17174.88,3268.00,11124.55,16509.00,27451.48,45090.03,35366.57,29310.02,14446.93,21668.19,19383.85,18408.79,22091.00,25377.00,50517.87,36733.00,52749.80,27169.63,35864.33,29936.06,31948.57,30873.27,60998.00,31861.68,24322.53,28049.95,30344.06,19817.00,40091.32,41173.23,16738.82,16075.00,23552.89,24102.73,27461.24,47102.70,24063.73,21625.00,2787.26,33946.56,6247.46,23727.22,41500.00,25328.00,34282.39,30734.58,28056.88,26892.00,19732.40,4419.41,29478.50,26595.00,20092.09,28491.94,32581.87,11146.60
2015-04,2015,4,24.50,651.27,1.06,33.80,17.80,2280771.09,20558.00,26967.06,39309.19,39506.62,36765.57,34552.00,34231.77,23858.00,25918.83,24535.34,7294.61,36275.69,33611.78,44688.83,29962.81,31569.32,21248.90,46554.28,36786.82,18418.70,29378.00,25472.69,29464.61,20322.00,23572.99,41877.40,21182.60,4036.78,47641.95,17199.00,10577.00,7593.00,21863.98,30895.62,25395.25,15087.85,2922.00,9774.91,14134.00,23849.41,39904.68,27672.00,24715.05,12438.74,17950.90,16594.65,16211.11,18938.00,23064.81,42769.65,34685.20,45521.01,24463.00,31061.78,30074.31,26327.52,24484.00,45426.00,28387.00,21446.66,23861.75,25950.43,18152.00,32611.77,35336.70,14033.83,14368.00,20420.98,19740.13,24383.45,38567.28,19979.74,19172.00,2492.16,29958.99,6191.13,22104.12,37928.00,22737.00,31249.24,24883.53,23783.91,22274.00,15852.02,4199.18,26354.83,22288.00,16820.64,25191.00,28031.83,10033.00
2015-05,2015,5,22.31,551.44,1.01,33.20,15.10,2068023.44,18514.00,25170.03,35995.11,34532.15,31350.02,31732.00,30739.37,21608.00,24308.57,22143.57,6717.80,34031.50,30804.54,39862.43,27622.98,31167.28,19417.95,42005.75,32456.38,18857.68,26333.00,22351.22,26777.89,18007.00,20880.10,39059.44,19466.00,3476.94,42048.17,16605.00,9897.00,7241.00,19695.84,27583.50,22379.36,13927.22,2800.00,8851.29,13069.00,23817.99,34653.94,26538.00,22198.38,11323.98,16006.46,15664.26,14169.18,17396.00,20516.31,37950.89,30796.80,42077.98,21908.00,26989.51,26075.00,24136.92,22730.00,40428.00,24461.12,19517.86,19599.34,20774.66,17455.00,28719.82,31803.84,12918.14,14118.00,18245.83,19271.43,21537.61,37957.99,17900.67,16926.96,2883.00,26502.99,6431.49,20416.58,33125.00,18684.00,29582.86,22014.29,21894.53,21239.00,15148.82,4155.94,24433.10,20347.00,14806.23,23541.57,23411.99,10165.40
2015-06,2015,6,21.20,484.63,1.06,33.50,13.30,1927421.02,16573.00,23158.37,33899.44,31352.63,29675.23,29915.00,26569.63,20988.00,23033.69,20867.69,6482.00,29030.02,27963.22,37231.51,26594.86,28998.93,17675.83,38335.13,29595.46,18327.95,23978.00,20637.13,24559.26,17347.51,19377.22,35431.00,18161.78,3777.71,37147.04,15503.00,9000.00,9293.71,18156.46,25403.84,20445.79,12889.53,2686.00,8181.06,11813.00,24465.00,32065.75,24963.00,21016.52,10691.62,14947.06,14810.31,13017.13,14254.06,18990.65,32675.53,26822.83,39044.84,20233.00,25059.63,24131.63,22006.56,22260.00,39891.00,23685.40,18348.93,18837.92,20246.08,16529.00,27156.59,29105.95,11925.40,13940.00,16648.15,18100.53,22657.00,36811.41,16727.06,15359.52,2312.94,24109.57,5814.10,19224.83,30493.00,17739.00,28794.68,21230.10,19528.87,19614.00,14005.71,3978.01,22596.29,18391.03,13673.06,23089.30,21058.67,11950.82
2015-07,2015,7,21.91,481.76,1.14,33.50,15.00,2006169.60,16689.00,24411.90,34507.82,32277.46,30178.08,30975.00,28697.47,21673.00,24326.58,21944.71,6588.25,32221.33,28857.28,38512.27,30796.04,31684.90,18656.54,38572.34,31217.17,19332.76,24931.00,20999.59,25746.53,18273.31,20140.16,36510.28,17538.92,3616.22,39223.28,16112.00,9590.00,10073.72,18918.80,25820.92,21374.66,13525.27,1483.00,8598.50,12282.00,22148.07,33497.59,25203.00,21893.58,11110.51,15579.62,15426.46,13422.57,17157.03,19853.35,35773.77,27980.94,41418.32,20575.00,26440.93,24710.80,23454.54,21353.00,38681.56,24197.76,19023.84,19705.68,22876.58,17011.00,28018.82,29475.22,12211.29,15015.00,17402.74,19590.03,22514.64,38003.90,17159.58,15801.00,3797.22,25278.02,5864.96,19732.27,32105.00,18409.00,29929.93,21806.03,20957.55,20497.00,14515.37,4231.13,23037.06,19016.32,14037.94,25029.68,22053.21,12045.06
2015-08,2015,8,22.67,694.82,1.39,37.00,13.80,2081029.71,18016.00,25406.12,35117.20,35126.65,32330.98,31381.00,28025.39,21861.00,24423.84,23170.00,6983.09,34065.07,30231.95,41612.90,31002.39,31163.74,19787.31,40967.12,32679.06,19513.14,26685.00,22468.50,27876.03,18023.00,21417.73,37058.83,18841.40,4053.29,41575.88,16374.00,9530.00,11049.00,19260.10,26961.63,22172.22,13638.49,2644.00,8666.19,12964.00,21898.10,36346.23,25170.50,21734.69,10501.04,16321.27,14855.99,14627.54,17465.35,20979.47,39169.19,27884.47,41187.76,22324.00,28846.42,26138.62,24508.64,21651.00,39012.58,23944.25,21570.30,20339.46,22772.13,17276.00,28809.29,32390.04,12329.05,15083.00,18699.44,19219.35,24105.62,38217.36,17324.68,16945.00,2735.40,27007.26,5978.15,19995.20,33372.00,19314.00,30868.83,22613.08,21969.66,21174.00,15021.19,4124.08,23914.64,19647.30,14886.15,26462.50,22940.60,10824.82
2015-09,2015,9,23.74,560.52,1.56,39.50,17.20,2139462.80,19087.00,24466.12,37672.84,36091.64,33932.48,31947.00,29046.67,23476.00,25126.49,23002.00,6990.27,35126.99,29935.14,43768.45,31077.96,32771.02,20170.39,43231.84,34475.50,19334.85,27391.00,23361.16,28270.85,18824.00,21427.87,38210.24,20045.53,4954.60,41397.57,16725.00,9990.00,10296.00,19032.93,28142.72,23783.55,14055.12,2958.00,9107.73,13116.00,23733.76,37823.87,26220.10,22794.69,11141.16,17534.34,15442.10,14698.99,18095.17,21874.42,39687.05,27018.05,43534.56,22265.00,30413.05,26810.13,25350.38,20916.00,40866.20,25706.15,22285.89,20764.77,22728.70,17740.00,30913.80,32362.39,12824.73,16626.00,19003.98,19612.19,23602.59,39257.62,17701.06,17091.20,2357.55,28083.58,7926.07,20647.95,33898.00,21875.00,31676.00,23042.95,22338.16,22033.00,16181.42,4000.37,24260.40,18932.20,15447.64,23852.48,22754.81,9829.09
2015-10,2015,10,25.05,705.28,1.78,41.90,15.70,2346203.75,21750.00,25337.24,39475.25,40917.95,37237.63,34147.00,32993.70,25177.00,26390.05,25179.00,7513.22,36038.61,35194.08,49561.45,32552.66,33120.63,22190.41,46519.13,40127.31,21410.45,29581.00,26259.31,31356.80,20468.00,24004.24,39876.16,22808.07,5362.75,46435.78,18363.00,11060.00,9201.00,20914.82,29383.19,26337.55,15192.75,3110.00,9671.57,14449.00,26512.96,41124.24,28583.84,24979.08,11914.09,19010.71,16367.61,16459.92,20087.71,22674.35,44526.08,27398.30,43414.21,25235.00,32256.45,28200.45,27879.33,22953.00,42670.25,32557.57,23317.57,24027.86,25161.82,19905.00,33931.45,35401.85,13939.87,16854.00,21481.21,20744.90,27259.34,40512.84,19500.53,18733.00,2861.47,31746.53,7059.79,22631.14,38531.00,25358.00,33554.00,26464.77,24039.51,24088.00,16971.60,4294.76,26565.47,22703.95,17242.80,28329.83,28984.22,13961.00
